Distance from Center (cmd=annotatePeaks.pl tss /home/jhii/public/genomes/GRCm38.fa -size 8000 -hist 10 -d /home/jhii/lab5/tagdirs/Oct4 /home/jhii/lab5/tagdirs/Sox2 /home/jhii/lab5/tagdirs/Klf4 /home/jhii/lab5/tagdirs/H3K4me2 /home/jhii/lab5/tagdirs/H3K27ac -gtf /home/jhii/public/genomes/GRCm38.75.gtf)	/home/jhii/lab5/tagdirs/Oct4 Coverage	/home/jhii/lab5/tagdirs/Oct4 + Tags	/home/jhii/lab5/tagdirs/Oct4 - Tags	/home/jhii/lab5/tagdirs/Sox2 Coverage	/home/jhii/lab5/tagdirs/Sox2 + Tags	/home/jhii/lab5/tagdirs/Sox2 - Tags	/home/jhii/lab5/tagdirs/Klf4 Coverage	/home/jhii/lab5/tagdirs/Klf4 + Tags	/home/jhii/lab5/tagdirs/Klf4 - Tags	/home/jhii/lab5/tagdirs/H3K4me2 Coverage	/home/jhii/lab5/tagdirs/H3K4me2 + Tags	/home/jhii/lab5/tagdirs/H3K4me2 - Tags	/home/jhii/lab5/tagdirs/H3K27ac Coverage	/home/jhii/lab5/tagdirs/H3K27ac + Tags	/home/jhii/lab5/tagdirs/H3K27ac - Tags
-4000	0.894852599826525	0.00372010998388166	0.00385991803883146	0.816687209633082	0.00332315666382228	0.00335994437596791	0.92945636638819	0.00422331784709709	0.00438857811067915	1.46584775730504	0.00672123721332027	0.0061649968922179	1.16541617942965	0.00524951803040359	0.0049018678297146
-3990	0.89039495169769	0.00376266026147508	0.00407266942679855	0.807531156832391	0.00348257008312003	0.00327410638096143	0.927905776260754	0.00397236707647248	0.00459056287727946	1.4673928693081	0.00626349778241311	0.00645470539279205	1.17051504903975	0.0050756929300591	0.00536076609462406
-3980	0.881560703587819	0.00381128915015327	0.00376873887255985	0.804261137975002	0.00348257008312003	0.00336607566132552	0.920968925690642	0.00422943859760013	0.00448038936822475	1.46901523691132	0.00658797130305616	0.00658797130305616	1.17107128936086	0.00530514206251384	0.00495749186182484
-3970	0.888773988741751	0.00409698387113765	0.00375050303930553	0.802299126660568	0.00385657848993399	0.00380139692171553	0.920071215616863	0.00400909157949071	0.00417435184307277	1.46932425931193	0.00719056498425039	0.00608967268206862	1.17116399608104	0.00521475301033469	0.0046932777093012
-3960	0.882209088770195	0.00372010998388166	0.00378697470581418	0.792080317731225	0.00369716507063624	0.003451913656332	0.915256225221139	0.00396624632596944	0.00422331784709709	1.48284398933872	0.00659955964307913	0.00645470539279205	1.17904406729666	0.00545115514680322	0.0052147530103347
-3950	0.882290136917992	0.00399364748269649	0.00403011914920513	0.787257039916575	0.00396694162637089	0.00317600581523974	0.924070105945516	0.00433961210665484	0.00396624632596944	1.49072406055434	0.00732962506452598	0.00692403316372218	1.17524309176913	0.00581271135551978	0.00506178692203154
-3940	0.880588125814255	0.00382952498340759	0.00405443359354423	0.793306574802746	0.00383818463386117	0.00305338010808762	0.92888509634124	0.00420495559558797	0.00393564257345424	1.49087857175465	0.0071210349441126	0.0061649968922179	1.18238150922327	0.00584747637558866	0.00532600107455517
-3930	0.882452233213586	0.00430973525910474	0.00401796192703559	0.81112817757552	0.00390562877279484	0.00333541923453749	0.926681626160146	0.00403357458150287	0.00397848782697552	1.48624323574546	0.00628088029244756	0.00657058879302171	1.1839575234664	0.00517303498625202	0.00515912897822446
-3920	0.882776425804774	0.00398756887161172	0.004060512204629	0.813171939361389	0.00379526563635793	0.00351935779526567	0.932149496609528	0.0043334913561518	0.00411926508854542	1.49072406055434	0.0070167398839059	0.00648947041286095	1.18293774954437	0.00527037704244493	0.00492967984576972
-3910	0.878967162858315	0.004060512204629	0.00389638970534011	0.815133950675823	0.00328023766631904	0.00375234663885468	0.928395436300997	0.00384383131590866	0.00415598959156366	1.48894718175082	0.00657058879302171	0.00649526458287243	1.18247421594346	0.00526342403843116	0.00541639012673431
